,Equipo,Equipo,Equipo
0,Golden State,Golden State,San Antonio
1,San Antonio,San Antonio,Golden State
2,Cleveland,Cleveland,Oklahoma City
3,Toronto,Toronto,Cleveland
4,Oklahoma City,Oklahoma City,Toronto
5,LA Clippers,LA Clippers,LA Clippers
6,Memphis,Miami,Boston
7,Boston,Boston,Atlanta
8,Miami,Memphis,Charlotte
9,Atlanta,Atlanta,Indiana
10,Charlotte,Charlotte,Utah
11,Indiana,Indiana,Miami
12,Portland,Chicago,Portland
13,Chicago,Portland,Detroit
14,Houston,Houston,Houston
15,Dallas,Dallas,Dallas
16,Detroit,Detroit,Chicago
17,Utah,Utah,Washington
18,Washington,Washington,Memphis
19,Orlando,Milwaukee,Denver
20,Milwaukee,Orlando,Sacramento
21,Denver,Denver,Orlando
22,New York,New York,New York
23,Sacramento,Sacramento,New Orleans
24,New Orleans,New Orleans,Milwaukee
25,Minnesota,Minnesota,Minnesota
26,Brooklyn,Phoenix,Brooklyn
27,Phoenix,Brooklyn,Phoenix
28,LA Lakers,LA Lakers,LA Lakers
29,Philadelphia,Philadelphia,Philadelphia
