0,0.391304,0.634615,0.208333
1,0.217391,0.307692,-0.916667
2,0.478261,0.538462,0.0833333
3,0.391304,0.576923,0.125
4,0.434783,0.615385,0.208333
5,0.347826,0.480769,0.0416667
6,0.391304,0.557692,0.333333
7,0.434783,0.519231,0.166667
8,0.434783,0.557692,0.333333
9,0.608696,0.711538,1.125
10,0.391304,0.538462,0.208333
11,0.304348,0.480769,-0.125
12,0.217391,0.384615,-0.416667
13,0.26087,0.365385,-0.625
14,0.391304,0.576923,0.0833333
15,0.26087,0.442308,-0.333333
16,0.478261,0.596154,0.541667
17,0.304348,0.442308,-0.375
18,0.26087,0.384615,-0.0416667
19,0.26087,0.442308,-0.166667
20,0.608696,0.692308,0.958333
21,0.217391,0.403846,-0.5
22,0.26087,0.288462,-1.0
23,0.347826,0.461538,0.0833333

